timestamp,node_id,cpu_usage_percent,memory_usage_percent,network_latency_ms,disk_io_mbps,error_rate,avg_response_time_ms,pod_restarts,cpu_throttling_percent,failure
2025-02-21 22:43:22.770458,node-7,34.98,40.79,12.38,6.39,0.0965,46.87,1.0,10.95,0
2025-02-21 22:58:22.770458,node-6,34.58,43.01,35.99,59.5,0.0,10.0,0.0,21.26,0
2025-02-21 23:13:22.770458,node-10,30.13,48.07,8.92,12.18,0.154,42.27,1.0,22.45,0
2025-02-21 23:28:22.770458,node-2,34.08,60.6,34.75,16.2,0.2657,62.82,-3.0,23.59,0
2025-02-21 23:43:22.770458,node-3,15.81,65.0,16.97,34.53,0.0843,25.95,0.0,4.43,0
2025-02-21 23:58:22.770458,node-9,48.3,44.3,3.79,48.8,-4.7,30.95,0.0,17.62,0
2025-02-22 00:13:22.770458,node-9,54.58,56.51,20.23,41.14,0.0987,47.45,0.0,34.11,0
2025-02-22 00:28:22.770458,node-9,54.38,20.42,4.72,27.82,-4.7,41.32,1.0,24.61,0
2025-02-22 00:43:22.770458,node-4,55.98,41.94,15.19,23.28,0.1943,62.61,1.0,16.55,0
2025-02-22 00:58:22.770458,node-10,22.36,54.43,4.22,54.95,-4.7,54.36,1.0,29.95,0
2025-02-22 01:13:22.770458,node-5,56.01,11.18,15.43,7.47,0.0921,57.28,-3.0,22.42,0
2025-02-22 01:28:22.770458,node-7,41.54,75.0,18.77,23.18,0.0465,20.79,-3.0,24.27,0
2025-02-22 01:43:22.770458,node-6,41.27,35.06,28.31,31.66,-4.7,72.9,3.0,24.02,0
2025-02-22 01:58:22.770458,node-4,41.52,40.0,20.78,43.33,0.1315,61.86,-3.0,44.23,0
2025-02-22 02:13:22.770458,node-10,34.27,50.39,26.66,39.49,0.1988,24.83,0.0,9.72,0
2025-02-22 02:28:22.770458,node-3,49.66,52.47,16.0,25.76,0.175,68.38,0.0,14.65,0
2025-02-22 02:43:22.770458,node-3,45.34,60.26,15.5,11.69,0.1483,75.14,1.0,12.04,0
2025-02-22 02:58:22.770458,node-7,57.38,66.29,16.22,60.14,0.084,54.41,0.0,0.0,0
2025-02-22 03:13:22.770458,node-3,24.65,63.05,2.0,37.92,0.1858,32.6,0.0,6.63,0
2025-02-22 03:28:22.770458,node-8,41.06,75.0,15.63,24.81,0.0989,69.36,1.0,0.0,0
2025-02-22 03:43:22.770458,node-3,35.88,54.21,2.18,56.37,0.0,87.01,1.0,26.45,0
2025-02-22 03:58:22.770458,node-8,41.06,54.7,29.97,49.0,0.0782,39.91,0.0,18.69,0
2025-02-22 04:13:22.770458,node-3,41.59,52.55,18.92,48.46,0.088,67.94,0.0,20.4,0
2025-02-22 04:28:22.770458,node-9,59.03,44.11,6.94,59.52,0.1758,67.13,2.0,36.24,0
2025-02-22 04:43:22.770458,node-2,67.2,31.99,11.58,57.4,-4.7,16.14,1.0,34.01,0
2025-02-22 04:58:22.770458,node-8,53.3,37.59,5.66,12.91,0.0,61.36,0.0,33.17,0
2025-02-22 05:13:22.770458,node-1,67.26,45.84,21.93,31.51,0.1045,63.23,0.0,24.01,0
2025-02-22 05:28:22.770458,node-5,34.17,36.11,15.62,35.0,0.056,34.79,-3.0,0.0,0
2025-02-22 05:43:22.770458,node-1,40.32,41.99,17.46,52.67,-4.7,28.83,0.0,24.49,0
2025-02-22 05:58:22.770458,node-8,35.2,52.99,22.12,28.17,0.0435,55.05,1.0,17.59,0
2025-02-22 06:13:22.770458,node-8,39.33,74.43,22.49,56.92,0.1304,53.52,2.0,37.34,0
2025-02-22 06:28:22.770458,node-1,55.1,31.11,15.43,54.18,0.0,68.11,0.0,23.94,0
2025-02-22 06:43:22.770458,node-4,27.64,27.73,13.12,27.78,0.0444,61.91,1.0,40.61,0
2025-02-22 06:58:22.770458,node-2,18.44,39.83,16.02,47.54,0.0,79.42,1.0,14.42,0
2025-02-22 07:13:22.770458,node-8,52.18,36.23,4.29,18.13,-4.7,74.1,1.0,29.92,0
2025-02-22 07:28:22.770458,node-2,93.7,86.72,95.61,85.21,0.5887,371.91,3.0,84.93,1
2025-02-22 07:43:22.770458,node-8,32.04,45.74,4.22,21.22,0.0,63.5,-3.0,38.98,0
2025-02-22 07:58:22.770458,node-3,43.49,67.0,17.51,28.45,0.2697,20.35,2.0,28.14,0
2025-02-22 08:13:22.770458,node-7,59.41,30.08,19.29,31.19,0.11,24.71,0.0,27.97,0
2025-02-22 08:28:22.770458,node-5,39.37,58.5,31.5,50.65,0.1912,36.32,0.0,0.0,0
2025-02-22 08:43:22.770458,node-2,37.49,38.54,8.42,5.0,0.036,78.43,0.0,3.27,0
2025-02-22 08:58:22.770458,node-4,68.74,40.73,27.59,30.59,0.2096,35.87,0.0,8.0,0
2025-02-22 09:13:22.770458,node-2,36.45,41.01,6.02,5.85,0.0588,38.26,-3.0,25.25,0
2025-02-22 09:28:22.770458,node-10,60.97,47.3,16.86,38.03,-4.7,27.04,0.0,11.02,0
2025-02-22 09:43:22.770458,node-6,51.88,48.44,17.28,5.0,0.2037,100.02,0.0,7.16,0
2025-02-22 09:58:22.770458,node-2,62.05,50.64,2.02,34.19,0.1093,10.0,1.0,11.35,0
2025-02-22 10:13:22.770458,node-6,57.93,63.4,29.5,31.67,0.0942,42.02,1.0,28.67,0
2025-02-22 10:28:22.770458,node-2,51.28,40.91,18.2,14.69,-4.7,15.31,1.0,34.41,0
2025-02-22 10:43:22.770458,node-1,45.43,44.86,19.88,22.57,0.106,54.7,-3.0,26.33,0
2025-02-22 10:58:22.770458,node-8,69.38,54.79,24.6,38.97,0.1261,39.84,1.0,39.78,0
2025-02-22 11:13:22.770458,node-5,46.1,60.77,2.0,45.38,0.1683,55.61,1.0,0.0,0
2025-02-22 11:28:22.770458,node-2,33.41,43.02,18.27,32.2,0.0748,64.61,-3.0,45.0,0
2025-02-22 11:43:22.770458,node-6,36.79,23.88,7.76,27.47,0.0,132.9,0.0,11.7,0
2025-02-22 11:58:22.770458,node-6,49.58,26.07,11.45,44.39,0.2258,15.85,-3.0,21.66,0
2025-02-22 12:13:22.770458,node-7,60.06,55.96,20.71,30.11,0.0162,85.79,2.0,23.45,0
2025-02-22 12:28:22.770458,node-2,31.29,61.2,6.51,38.55,0.1295,32.08,0.0,13.02,0
2025-02-22 12:43:22.770458,node-9,39.66,65.0,18.72,17.99,0.0819,74.47,-3.0,27.52,0
2025-02-22 12:58:22.770458,node-3,74.06,50.72,30.37,5.0,0.0594,21.75,1.0,19.78,0
2025-02-22 13:13:22.770458,node-6,32.62,31.49,14.01,24.65,0.128,72.57,1.0,23.51,0
2025-02-22 13:28:22.770458,node-1,41.5,65.13,13.77,40.34,0.0992,66.88,0.0,21.91,0
2025-02-22 13:43:22.770458,node-5,5.0,44.92,18.27,5.0,0.1812,41.31,0.0,44.71,0
2025-02-22 13:58:22.770458,node-8,25.09,50.37,22.38,51.15,0.0829,71.06,0.0,17.49,0
2025-02-22 14:13:22.770458,node-4,35.68,35.35,20.86,39.61,0.0661,65.25,0.0,18.88,0
2025-02-22 14:28:22.770458,node-1,27.7,45.18,7.02,22.64,0.0,47.63,-3.0,41.52,0
2025-02-22 14:43:22.770458,node-1,49.45,65.0,4.92,9.34,0.1351,53.37,0.0,31.94,0
2025-02-22 14:58:22.770458,node-3,34.03,58.73,13.83,34.25,0.0443,58.4,-3.0,11.34,0
2025-02-22 15:13:22.770458,node-2,39.84,47.27,6.35,25.99,0.0895,89.44,-3.0,36.28,0
2025-02-22 15:28:22.770458,node-7,21.64,39.13,23.57,44.96,0.0542,38.57,1.0,37.84,0
2025-02-22 15:43:22.770458,node-5,47.92,38.91,17.49,42.49,0.0192,50.97,1.0,46.81,0
2025-02-22 15:58:22.770458,node-9,82.23,82.12,102.09,82.38,5.3,253.94,5.0,79.33,1
2025-02-22 16:13:22.770458,node-7,37.45,70.41,20.62,55.91,0.0973,10.0,-3.0,17.71,0
2025-02-22 16:28:22.770458,node-8,50.26,31.21,12.5,30.97,0.0829,22.46,-3.0,0.0,0
2025-02-22 16:43:22.770458,node-9,47.76,22.83,8.42,18.37,0.1245,49.52,1.0,9.6,0
2025-02-22 16:58:22.770458,node-3,42.82,51.78,11.41,33.22,0.1733,97.09,0.0,35.83,0
2025-02-22 17:13:22.770458,node-10,33.64,54.31,11.74,59.64,-4.7,27.18,0.0,28.2,0
2025-02-22 17:28:22.770458,node-6,41.01,67.93,13.45,30.39,0.0101,54.23,1.0,16.45,0
2025-02-22 17:43:22.770458,node-7,81.68,97.22,97.87,93.54,0.7591,299.33,3.0,75.01,1
