timestamp,node_id,cpu_pct,memory_pct,network_latency_ms,disk_io_mbps,error_rate,avg_response_time_ms,pod_restarts,cpu_throttling,failure
2023-01-01 00:00:00,node1,30.0,40.0,5.0,20.0,0.01,15.0,0,5.0,0
2023-01-01 00:05:00,node1,35.0,45.0,6.0,25.0,0.02,18.0,0,6.0,0
2023-01-01 00:10:00,node2,40.0,50.0,7.0,30.0,0.03,20.0,0,8.0,0
2023-01-01 00:15:00,node2,45.0,55.0,8.0,35.0,0.04,23.0,0,10.0,0
2023-01-01 00:20:00,node3,50.0,60.0,9.0,40.0,0.05,25.0,1,12.0,0
2023-01-01 00:25:00,node3,55.0,65.0,10.0,45.0,0.08,28.0,1,15.0,0
2023-01-01 00:30:00,node4,60.0,70.0,12.0,50.0,0.10,30.0,1,18.0,0
2023-01-01 00:35:00,node4,65.0,75.0,15.0,55.0,0.15,35.0,2,20.0,0
2023-01-01 00:40:00,node5,90.0,95.0,25.0,80.0,0.30,50.0,3,35.0,1
2023-01-01 00:45:00,node5,92.0,96.0,28.0,85.0,0.35,55.0,4,38.0,1
2023-01-01 00:50:00,node6,95.0,98.0,30.0,90.0,0.40,60.0,4,40.0,1
2023-01-01 00:55:00,node6,97.0,99.0,35.0,95.0,0.45,65.0,5,45.0,1 
